County,Census,Estimates Base,2010,2011,2012,2013,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
Stanislaus,514453,514451,515281,517849,521450,525152.3999999994,California,528236.8999999966,531558.4199999971,534879.9399999967,538201.4599999972,541522.9799999967,544844.4999999963,548166.0199999968,551487.5399999963,554809.0599999968,558130.5799999963,561452.0999999959,564773.6199999964,568095.1399999959,571416.6599999964,574738.179999996,578059.6999999955,581381.219999996,584702.7399999956,588024.259999996,591345.7799999956,594667.2999999952,597988.8199999956,601310.3399999952,604631.8599999957,607953.3799999952,611274.8999999948,614596.4199999953,617917.9399999948,621239.4599999953,624560.9799999949,627882.4999999944,631204.0199999949,634525.5399999944,637847.0599999949,641168.5799999945,644490.099999994,647811.6199999945,651133.1399999941,654454.6599999946,657776.1799999941,661097.6999999937,664419.2199999942,667740.7399999937,671062.2599999942,674383.7799999937,677705.2999999933,681026.8199999938,684348.3399999933,687669.8599999938
Sutter,94737,94737,94821,94739,94659,95118.30000000005,California,95037.30000000005,95118.49000000008,95199.68000000008,95280.87000000008,95362.06000000011,95443.25000000012,95524.44000000012,95605.63000000015,95686.82000000015,95768.01000000015,95849.20000000016,95930.39000000019,96011.58000000019,96092.7700000002,96173.96000000022,96255.15000000023,96336.34000000023,96417.53000000026,96498.72000000026,96579.91000000027,96661.1000000003,96742.2900000003,96823.4800000003,96904.67000000033,96985.86000000034,97067.05000000034,97148.24000000034,97229.43000000037,97310.62000000037,97391.81000000038,97473.00000000041,97554.19000000041,97635.38000000041,97716.57000000044,97797.76000000045,97878.95000000045,97960.14000000048,98041.33000000048,98122.52000000048,98203.71000000052,98284.90000000052,98366.09000000052,98447.28000000055,98528.47000000055,98609.66000000056,98690.85000000056,98772.04000000059,98853.23000000059,98934.4200000006
Tehama,63463,63463,63655,63338,63264,63048.29999999999,California,62852.800000000105,62663.39000000007,62473.98000000004,62284.57000000001,62095.16000000003,61905.75,61716.33999999997,61526.92999999999,61337.51999999996,61148.10999999993,60958.69999999995,60769.28999999992,60579.87999999989,60390.469999999914,60201.05999999988,60011.64999999985,59822.239999999816,59632.82999999984,59443.41999999981,59254.00999999978,59064.5999999998,58875.18999999977,58685.77999999974,58496.36999999976,58306.95999999973,58117.5499999997,57928.13999999972,57738.72999999969,57549.31999999966,57359.909999999625,57170.49999999965,56981.08999999962,56791.679999999586,56602.26999999961,56412.85999999958,56223.449999999546,56034.03999999957,55844.62999999954,55655.21999999951,55465.80999999953,55276.3999999995,55086.98999999947,54897.579999999434,54708.16999999946,54518.75999999943,54329.349999999395,54139.93999999942,53950.52999999939,53761.119999999355
Trinity,13786,13786,13756,13718,13506,13436.600000000035,California,13311.600000000064,13194.580000000075,13077.560000000085,12960.540000000095,12843.520000000106,12726.500000000116,12609.480000000098,12492.460000000108,12375.440000000119,12258.42000000013,12141.40000000014,12024.38000000015,11907.36000000016,11790.340000000171,11673.320000000153,11556.300000000163,11439.280000000173,11322.260000000184,11205.240000000194,11088.220000000205,10971.200000000215,10854.180000000226,10737.160000000207,10620.140000000218,10503.120000000228,10386.100000000239,10269.08000000025,10152.06000000026,10035.04000000027,9918.02000000028,9801.000000000262,9683.980000000272,9566.960000000283,9449.940000000293,9332.920000000304,9215.900000000314,9098.880000000325,8981.860000000335,8864.840000000346,8747.820000000327,8630.800000000338,8513.780000000348,8396.760000000359,8279.740000000369,8162.7200000003795,8045.70000000039,7928.6800000004005,7811.660000000382,7694.640000000392
Tulare,442179,442179,443342,447705,451043,454419.39999999944,California,458269.89999999944,461926.919999999,465583.9399999995,469240.95999999903,472897.9799999986,476554.99999999907,480212.0199999986,483869.0399999991,487526.05999999866,491183.07999999914,494840.0999999987,498497.11999999825,502154.13999999873,505811.1599999983,509468.17999999877,513125.1999999983,516782.2199999979,520439.23999999836,524096.2599999979,527753.2799999984,531410.299999998,535067.3199999984,538724.339999998,542381.3599999975,546038.379999998,549695.3999999976,553352.4199999981,557009.4399999976,560666.4599999972,564323.4799999977,567980.4999999972,571637.5199999977,575294.5399999972,578951.5599999977,582608.5799999973,586265.5999999968,589922.6199999973,593579.6399999969,597236.6599999974,600893.6799999969,604550.6999999974,608207.719999997,611864.7399999965,615521.759999997,619178.7799999965,622835.799999997,626492.8199999966,630149.8399999961,633806.8599999966
Tuolumne,55365,55365,55168,54703,54050,53768.5,California,53209.50000000012,52724.35000000009,52239.20000000007,51754.05000000005,51268.90000000002,50783.75,50298.59999999998,49813.44999999995,49328.29999999993,48843.14999999991,48357.99999999988,47872.84999999986,47387.69999999984,46902.549999999814,46417.39999999991,45932.24999999988,45447.09999999986,44961.94999999984,44476.799999999814,43991.64999999979,43506.49999999977,43021.349999999744,42536.19999999972,42051.0499999997,41565.899999999674,41080.74999999965,40595.59999999963,40110.449999999604,39625.2999999997,39140.149999999674,38654.99999999965,38169.84999999963,37684.699999999604,37199.54999999958,36714.39999999956,36229.249999999534,35744.09999999951,35258.94999999949,34773.799999999464,34288.64999999944,33803.49999999942,33318.34999999951,32833.19999999949,32348.049999999464,31862.89999999944,31377.749999999418,30892.599999999395,30407.44999999937,29922.299999999348
Ventura,823318,823318,825312,830623,834398,839493.0999999996,California,844036.1000000015,848667.9300000016,853299.7600000016,857931.5900000017,862563.4200000018,867195.25,871827.0800000001,876458.9100000001,881090.7400000002,885722.5700000003,890354.4000000004,894986.2300000004,899618.0600000005,904249.8900000006,908881.7200000007,913513.5500000007,918145.3800000008,922777.2100000009,927409.040000001,932040.870000001,936672.7000000011,941304.5300000012,945936.3600000013,950568.1900000013,955200.0200000014,959831.8500000015,964463.6800000016,969095.5100000016,973727.3400000017,978359.1700000018,982991.0000000019,987622.8300000019,992254.660000002,996886.4900000021,1001518.3200000022,1006150.1500000022,1010781.9800000023,1015413.8100000024,1020045.6400000025,1024677.4700000025,1029309.3000000026,1033941.1300000027,1038572.9600000028,1043204.7900000028,1047836.6200000029,1052468.450000003,1057100.280000003,1061732.1100000031,1066363.9400000032
Yolo,200849,200849,201136,202080,203838,204731.10000000056,California,206082.1000000001,207336.43000000017,208590.7600000007,209845.09000000078,211099.42000000086,212353.75000000093,213608.08000000147,214862.41000000155,216116.74000000162,217371.0700000017,218625.40000000224,219879.7300000023,221134.06000000238,222388.39000000246,223642.720000003,224897.05000000307,226151.38000000315,227405.7100000037,228660.04000000376,229914.37000000384,231168.7000000039,232423.03000000445,233677.36000000453,234931.6900000046,236186.02000000468,237440.35000000522,238694.6800000053,239949.01000000536,241203.34000000544,242457.67000000598,243712.00000000605,244966.33000000613,246220.6600000062,247474.99000000674,248729.32000000682,249983.6500000069,251237.98000000743,252492.3100000075,253746.64000000758,255000.97000000766,256255.3000000082,257509.63000000827,258763.96000000834,260018.29000000842,261272.62000000896,262526.95000000903,263781.2800000091,265035.6100000092,266289.9400000097
Yuba,72155,72155,72388,72566,72969,73304.59999999998,California,73595.1000000001,73910.38,74225.66000000003,74540.94000000006,74856.22000000009,75171.5,75486.78000000003,75802.06000000006,76117.34000000008,76432.62,76747.90000000002,77063.18000000005,77378.46000000008,77693.73999999999,78009.02000000002,78324.30000000005,78639.58000000007,78954.85999999999,79270.14000000001,79585.42000000004,79900.70000000007,80215.97999999998,80531.26000000001,80846.54000000004,81161.82000000007,81477.09999999998,81792.38,82107.66000000003,82422.94000000006,82738.21999999997,83053.5,83368.78000000003,83684.06000000006,83999.33999999997,84314.62,84629.90000000002,84945.17999999993,85260.45999999996,85575.73999999999,85891.02000000002,86206.29999999993,86521.57999999996,86836.85999999999,87152.14000000001,87467.41999999993,87782.69999999995,88097.97999999998,88413.26000000001,88728.53999999992
Adams,441603,441601,443492,451709,460057,468930.39999999665,Colorado,477212.8999999948,485679.2199999951,494145.5399999954,502611.85999999195,511078.17999999225,519544.49999999255,528010.8199999928,536477.1399999894,544943.4599999897,553409.77999999,561876.0999999903,570342.4199999869,578808.7399999872,587275.0599999875,595741.379999984,604207.6999999844,612674.0199999847,621140.339999985,629606.6599999815,638072.9799999818,646539.2999999821,655005.6199999824,663471.939999979,671938.2599999793,680404.5799999796,688870.8999999762,697337.2199999765,705803.5399999768,714269.859999977,722736.1799999736,731202.4999999739,739668.8199999742,748135.1399999745,756601.4599999711,765067.7799999714,773534.0999999717,782000.4199999683,790466.7399999686,798933.0599999689,807399.3799999692,815865.6999999657,824332.019999966,832798.3399999663,841264.6599999666,849730.9799999632,858197.2999999635,866663.6199999638,875129.9399999604,883596.2599999607
Alamosa,15445,15445,15900,16101,16123,16256.399999999965,Colorado,16367.899999999965,16477.01999999996,16586.139999999956,16695.25999999995,16804.379999999946,16913.49999999994,17022.619999999908,17131.739999999903,17240.8599999999,17349.979999999894,17459.09999999989,17568.219999999885,17677.33999999988,17786.459999999875,17895.57999999987,18004.699999999866,18113.81999999986,18222.939999999857,18332.059999999852,18441.179999999847,18550.299999999843,18659.41999999984,18768.539999999834,18877.65999999983,18986.779999999824,19095.89999999979,19205.019999999786,19314.13999999978,19423.259999999776,19532.379999999772,19641.499999999767,19750.619999999763,19859.739999999758,19968.859999999753,20077.97999999975,20187.099999999744,20296.21999999974,20405.339999999735,20514.45999999973,20623.579999999725,20732.69999999972,20841.819999999716,20950.93999999971,21060.059999999707,21169.179999999673,21278.29999999967,21387.419999999664,21496.53999999966,21605.659999999654
Arapahoe,572003,572075,574757,585827,595850,606920.299999997,Colorado,617466.799999997,628118.0899999961,638769.3799999952,649420.6699999981,660071.9599999972,670723.2499999963,681374.5399999954,692025.8299999945,702677.1199999936,713328.4099999927,723979.6999999918,734630.9899999909,745282.2799999937,755933.5699999928,766584.859999992,777236.1499999911,787887.4399999902,798538.7299999893,809190.0199999884,819841.3099999875,830492.5999999866,841143.8899999894,851795.1799999885,862446.4699999876,873097.7599999867,883749.0499999858,894400.339999985,905051.629999984,915702.9199999832,926354.2099999823,937005.4999999851,947656.7899999842,958308.0799999833,968959.3699999824,979610.6599999815,990261.9499999806,1000913.2399999797,1011564.5299999788,1022215.819999978,1032867.1099999808,1043518.3999999799,1054169.689999979,1064820.979999978,1075472.2699999772,1086123.5599999763,1096774.8499999754,1107426.1399999745,1118077.4299999736,1128728.7199999765
Archuleta,12084,12084,12065,12015,12103,12165.49999999997,Colorado,12184.499999999985,12223.449999999983,12262.399999999965,12301.349999999962,12340.299999999945,12379.249999999942,12418.199999999939,12457.149999999921,12496.099999999919,12535.049999999916,12573.999999999898,12612.949999999895,12651.899999999892,12690.849999999875,12729.799999999872,12768.749999999869,12807.699999999852,12846.649999999849,12885.599999999846,12924.549999999828,12963.499999999825,13002.449999999822,13041.399999999805,13080.349999999802,13119.299999999785,13158.249999999782,13197.199999999779,13236.149999999761,13275.099999999758,13314.049999999756,13352.999999999738,13391.949999999735,13430.899999999732,13469.849999999715,13508.799999999712,13547.749999999709,13586.699999999691,13625.649999999689,13664.599999999686,13703.549999999668,13742.499999999665,13781.449999999662,13820.399999999645,13859.349999999642,13898.29999999964,13937.249999999622,13976.199999999619,14015.149999999601,14054.099999999598
Baca,3788,3788,3787,3809,3761,3705.2999999999884,Colorado,3692.30000000001,3662.9900000000052,3633.6800000000003,3604.3699999999953,3575.0599999999904,3545.7499999999854,3516.4399999999805,3487.1299999999756,3457.8199999999706,3428.5099999999657,3399.1999999999607,3369.8899999999558,3340.579999999951,3311.269999999946,3281.959999999941,3252.649999999936,3223.339999999931,3194.029999999926,3164.719999999921,3135.409999999916,3106.0999999999112,3076.7899999999063,3047.4799999999013,3018.1699999998964,2988.8599999998914,2959.5499999998865,2930.2399999998815,2900.9299999998766,2871.6199999998717,2842.3099999998667,2812.9999999998618,2783.689999999857,2754.379999999852,2725.069999999847,2695.759999999842,2666.449999999837,2637.139999999832,2607.829999999827,2578.519999999822,2549.2099999998172,2519.8999999998123,2490.5899999998073,2461.2799999998024,2431.9699999997974,2402.6599999997925,2373.3499999997875,2344.0399999997826,2314.7299999997776,2285.4199999997727
Bent,6499,6499,6507,6305,5780,5622.70000000007,Colorado,5259.200000000186,4941.410000000149,4623.620000000228,4305.830000000191,3988.04000000027,3670.250000000233,3352.4600000001956,3034.6700000002747,2716.8800000002375,2399.0900000003166,2081.3000000002794,1763.5100000003586,1445.7200000003213,1127.930000000284,810.1400000003632,492.35000000032596,174.56000000040513,-143.22999999963213,-461.0199999996694,-778.8099999995902,-1096.5999999996275,-1414.3899999995483,-1732.1799999995856,-2049.969999999623,-2367.7599999995437,-2685.549999999581,-3003.3399999995017,-3321.129999999539,-3638.91999999946,-3956.709999999497,-4274.499999999534,-4592.289999999455,-4910.079999999492,-5227.869999999413,-5545.6599999994505,-5863.449999999488,-6181.239999999409,-6499.029999999446,-6816.819999999367,-7134.609999999404,-7452.399999999441,-7770.189999999362,-8087.979999999399,-8405.76999999932,-8723.559999999357,-9041.349999999278,-9359.139999999315,-9676.929999999353,-9994.719999999274
Boulder,294567,294571,296318,300506,305297,309939.3999999985,Colorado,314428.8999999985,318994.41999999806,323559.9399999976,328125.45999999717,332690.9799999967,337256.4999999963,341822.0199999977,346387.53999999724,350953.0599999968,355518.57999999635,360084.0999999959,364649.61999999546,369215.139999995,373780.65999999456,378346.1799999941,382911.69999999367,387477.2199999932,392042.7399999928,396608.2599999942,401173.77999999374,405739.2999999933,410304.81999999285,414870.3399999924,419435.85999999195,424001.3799999915,428566.89999999106,433132.4199999906,437697.93999999017,442263.4599999897,446828.97999999113,451394.4999999907,455960.01999999024,460525.5399999898,465091.05999998935,469656.5799999889,474222.09999998845,478787.619999988,483353.13999998756,487918.6599999871,492484.17999998666,497049.6999999881,501615.21999998763,506180.7399999872,510746.25999998674,515311.7799999863,519877.29999998584,524442.8199999854,529008.339999985,533573.8599999845
Broomfield,55889,55860,56089,57193,58311,59455.59999999916,Colorado,60566.599999998696,61688.37999999849,62810.15999999829,63931.93999999808,65053.71999999788,66175.49999999767,67297.27999999747,68419.05999999726,69540.83999999706,70662.61999999685,71784.39999999665,72906.17999999644,74027.95999999624,75149.73999999603,76271.51999999583,77393.29999999562,78515.07999999542,79636.85999999521,80758.63999999501,81880.4199999948,83002.1999999946,84123.9799999944,85245.75999999419,86367.53999999398,87489.31999999378,88611.09999999357,89732.87999999337,90854.65999999316,91976.43999999296,93098.21999999275,94219.99999999255,95341.77999999234,96463.55999999214,97585.33999999193,98707.11999999173,99828.89999999152,100950.67999999132,102072.45999999112,103194.23999999091,104316.0199999907,105437.7999999905,106559.5799999903,107681.35999999009,108803.13999998989,109924.91999998968,111046.69999998948,112168.47999998927,113290.25999998907,114412.03999998886
Chaffee,17809,17809,17805,18022,18127,18449.0,Colorado,18610.0,18813.70000000001,19017.400000000023,19221.100000000035,19424.800000000047,19628.50000000006,19832.20000000007,20035.90000000008,20239.600000000093,20443.300000000105,20647.00000000006,20850.70000000007,21054.40000000008,21258.100000000093,21461.800000000105,21665.500000000116,21869.200000000128,22072.90000000014,22276.60000000015,22480.300000000163,22684.000000000175,22887.700000000186,23091.400000000198,23295.10000000021,23498.80000000022,23702.500000000233,23906.200000000186,24109.900000000198,24313.60000000021,24517.30000000022,24721.000000000233,24924.700000000244,25128.400000000256,25332.100000000268,25535.80000000028,25739.50000000029,25943.200000000303,26146.900000000314,26350.600000000326,26554.300000000338,26758.00000000035,26961.70000000036,27165.400000000373,27369.100000000326,27572.800000000338,27776.50000000035,27980.20000000036,28183.900000000373,28387.600000000384
Cheyenne,1836,1836,1835,1870,1881,1895.399999999987,Colorado,1918.399999999987,1937.6199999999808,1956.839999999982,1976.0599999999758,1995.279999999977,2014.499999999971,2033.7199999999648,2052.939999999966,2072.15999999996,2091.3799999999537,2110.599999999955,2129.819999999949,2149.03999999995,2168.259999999944,2187.4799999999377,2206.699999999939,2225.9199999999328,2245.139999999934,2264.359999999928,2283.5799999999217,2302.799999999923,2322.0199999999168,2341.2399999999107,2360.459999999912,2379.6799999999057,2398.899999999907,2418.1199999999008,2437.3399999998946,2456.559999999896,2475.7799999998897,2494.9999999998836,2514.2199999998847,2533.4399999998786,2552.65999999988,2571.8799999998737,2591.0999999998676,2610.3199999998687,2629.5399999998626,2648.759999999864,2667.9799999998577,2687.1999999998516,2706.4199999998527,2725.6399999998466,2744.8599999998405,2764.0799999998417,2783.2999999998356,2802.5199999998367,2821.7399999998306,2840.9599999998245
ClearCreek,9088,9088,9103,9050,9060,9030.099999999999,Colorado,9008.599999999991,8987.729999999989,8966.859999999986,8945.989999999983,8925.11999999998,8904.249999999978,8883.379999999976,8862.50999999998,8841.639999999978,8820.769999999975,8799.899999999972,8779.02999999997,8758.159999999967,8737.289999999964,8716.419999999962,8695.54999999996,8674.679999999957,8653.809999999954,8632.939999999951,8612.069999999949,8591.199999999946,8570.329999999944,8549.459999999941,8528.589999999938,8507.719999999936,8486.84999999994,8465.979999999938,8445.109999999935,8424.239999999932,8403.36999999993,8382.499999999927,8361.629999999925,8340.759999999922,8319.88999999992,8299.019999999917,8278.149999999914,8257.279999999912,8236.409999999909,8215.539999999906,8194.669999999904,8173.799999999901,8152.929999999898,8132.059999999896,8111.189999999893,8090.319999999898,8069.449999999895,8048.579999999893,8027.70999999989,8006.839999999887
Conejos,8256,8256,8278,8308,8275,8279.100000000002,Colorado,8277.6,8274.630000000001,8271.660000000002,8268.690000000002,8265.720000000001,8262.750000000004,8259.780000000002,8256.810000000005,8253.840000000004,8250.870000000004,8247.900000000005,8244.930000000006,8241.960000000006,8238.990000000005,8236.020000000008,8233.050000000007,8230.080000000007,8227.110000000008,8224.140000000009,8221.17000000001,8218.200000000008,8215.23000000001,8212.26000000001,8209.290000000012,8206.32000000001,8203.350000000011,8200.380000000012,8197.410000000013,8194.440000000013,8191.470000000013,8188.500000000014,8185.530000000014,8182.560000000014,8179.590000000015,8176.620000000015,8173.650000000016,8170.680000000017,8167.710000000016,8164.740000000017,8161.770000000018,8158.800000000018,8155.830000000018,8152.860000000019,8149.890000000019,8146.92000000002,8143.95000000002,8140.9800000000205,8138.010000000021,8135.040000000022
Costilla,3524,3524,3528,3641,3593,3558.3000000000047,Colorado,3590.800000000004,3595.0900000000047,3599.3800000000056,3603.6700000000064,3607.9600000000073,3612.25000000001,3616.540000000011,3620.8300000000118,3625.1200000000126,3629.4100000000135,3633.7000000000144,3637.9900000000152,3642.280000000016,3646.570000000017,3650.860000000018,3655.1500000000187,3659.4400000000196,3663.7300000000223,3668.020000000023,3672.310000000024,3676.600000000025,3680.890000000026,3685.1800000000267,3689.4700000000275,3693.7600000000284,3698.0500000000293,3702.34000000003,3706.630000000031,3710.920000000032,3715.2100000000346,3719.5000000000355,3723.7900000000363,3728.080000000037,3732.370000000038,3736.660000000039,3740.95000000004,3745.2400000000407,3749.5300000000416,3753.8200000000425,3758.1100000000433,3762.400000000046,3766.690000000047,3770.9800000000478,3775.2700000000486,3779.5600000000495,3783.8500000000504,3788.1400000000513,3792.430000000052,3796.720000000053
Crowley,5823,5823,5846,5803,5376,5286.900000000023,Colorado,5051.9000000000815,4841.4700000000885,4631.0400000000955,4420.610000000102,4210.180000000109,3999.7500000001164,3789.3200000001234,3578.890000000072,3368.460000000079,3158.030000000086,2947.600000000093,2737.1700000001,2526.740000000107,2316.310000000114,2105.880000000121,1895.450000000128,1685.020000000135,1474.590000000142,1264.1600000000908,1053.7300000000978,843.3000000001048,632.8700000001118,422.44000000011874,212.01000000012573,1.5800000001327135,-208.8499999998603,-419.2799999998533,-629.7099999998463,-840.1399999998393,-1050.5699999998906,-1260.9999999998836,-1471.4299999998766,-1681.8599999998696,-1892.2899999998626,-2102.7199999998556,-2313.1499999998487,-2523.5799999998417,-2734.0099999998347,-2944.4399999998277,-3154.8699999998207,-3365.299999999872,-3575.729999999865,-3786.159999999858,-3996.589999999851,-4207.019999999844,-4417.449999999837,-4627.87999999983,-4838.309999999823,-5048.739999999816
Custer,4255,4255,4278,4225,4245,4264.4,Colorado,4247.9000000000015,4245.820000000001,4243.740000000001,4241.660000000001,4239.58,4237.5,4235.42,4233.339999999999,4231.259999999999,4229.179999999999,4227.099999999999,4225.019999999999,4222.939999999999,4220.859999999999,4218.779999999998,4216.699999999998,4214.619999999998,4212.539999999997,4210.459999999997,4208.379999999997,4206.2999999999965,4204.219999999997,4202.139999999997,4200.059999999996,4197.979999999996,4195.899999999996,4193.819999999996,4191.739999999995,4189.659999999995,4187.579999999995,4185.4999999999945,4183.419999999995,4181.339999999995,4179.259999999994,4177.179999999994,4175.099999999994,4173.019999999993,4170.939999999993,4168.859999999993,4166.7799999999925,4164.6999999999925,4162.619999999993,4160.539999999992,4158.459999999992,4156.379999999992,4154.299999999992,4152.219999999991,4150.139999999991,4148.059999999991
Delta,30952,30952,30868,30366,30422,30369.900000000023,Colorado,30146.90000000008,30003.070000000065,29859.24000000005,29715.41000000009,29571.580000000075,29427.75000000006,29283.920000000042,29140.090000000084,28996.260000000068,28852.43000000005,28708.600000000035,28564.770000000077,28420.94000000006,28277.110000000044,28133.280000000086,27989.45000000007,27845.620000000054,27701.790000000037,27557.96000000008,27414.130000000063,27270.300000000047,27126.47000000003,26982.640000000072,26838.810000000056,26694.98000000004,26551.15000000008,26407.320000000065,26263.49000000005,26119.660000000033,25975.830000000075,25832.00000000006,25688.170000000042,25544.340000000026,25400.510000000068,25256.68000000005,25112.850000000035,24969.020000000077,24825.19000000006,24681.360000000044,24537.530000000028,24393.70000000007,24249.870000000054,24106.040000000037,23962.21000000002,23818.380000000063,23674.550000000047,23530.72000000003,23386.890000000072,23243.060000000056
Denver,600158,600080,603421,620018,634542,649780.8999999985,Colorado,665341.3999999948,680701.7699999921,696062.1399999931,711422.5099999942,726782.8799999952,742143.2499999925,757503.6199999936,772863.9899999946,788224.3599999957,803584.729999993,818945.099999994,834305.4699999951,849665.8399999961,865026.2099999934,880386.5799999945,895746.9499999955,911107.3199999966,926467.6899999939,941828.0599999949,957188.429999996,972548.799999997,987909.1699999943,1003269.5399999954,1018629.9099999964,1033990.2799999975,1049350.6499999948,1064711.0199999958,1080071.3899999969,1095431.759999998,1110792.1299999952,1126152.4999999963,1141512.8699999973,1156873.2399999984,1172233.6099999957,1187593.9799999967,1202954.3499999978,1218314.719999995,1233675.0899999961,1249035.4599999972,1264395.8299999982,1279756.1999999955,1295116.5699999966,1310476.9399999976,1325837.3099999987,1341197.679999996,1356558.049999997,1371918.419999998,1387278.789999999,1402639.1599999964
Dolores,2064,2064,2061,2028,1995,2008.9000000000087,Colorado,1975.9000000000087,1956.9700000000084,1938.0400000000154,1919.1100000000151,1900.1800000000148,1881.2500000000218,1862.3200000000215,1843.3900000000212,1824.4600000000282,1805.530000000028,1786.6000000000276,1767.6700000000274,1748.7400000000343,1729.810000000034,1710.8800000000338,1691.9500000000407,1673.0200000000405,1654.0900000000402,1635.1600000000471,1616.2300000000469,1597.3000000000466,1578.3700000000536,1559.4400000000533,1540.510000000053,1521.58000000006,1502.6500000000597,1483.7200000000594,1464.7900000000664,1445.860000000066,1426.9300000000658,1408.0000000000728,1389.0700000000725,1370.1400000000722,1351.2100000000792,1332.2800000000789,1313.3500000000786,1294.4200000000856,1275.4900000000853,1256.560000000085,1237.630000000092,1218.7000000000917,1199.7700000000914,1180.8400000000984,1161.910000000098,1142.9800000000978,1124.0500000001048,1105.1200000001045,1086.1900000001042,1067.2600000001112
Douglas,285465,285465,286909,292393,298417,305398.4000000004,Colorado,311152.4000000004,317301.62000000104,323450.8400000017,329600.0600000024,335749.28000000305,341898.50000000186,348047.72000000253,354196.9400000032,360346.1600000039,366495.38000000454,372644.60000000335,378793.820000004,384943.0400000047,391092.26000000536,397241.48000000603,403390.7000000067,409539.9200000055,415689.1400000062,421838.36000000685,427987.5800000075,434136.8000000082,440286.020000007,446435.2400000077,452584.46000000834,458733.680000009,464882.9000000097,471032.1200000085,477181.34000000916,483330.56000000983,489479.7800000105,495629.0000000112,501778.22000001185,507927.44000001065,514076.6600000113,520225.880000012,526375.1000000127,532524.3200000133,538673.5400000121,544822.7600000128,550971.9800000135,557121.2000000142,563270.4200000148,569419.6400000155,575568.8600000143,581718.080000015,587867.3000000156,594016.5200000163,600165.740000017,606314.9600000158
Eagle,52197,52197,52092,51768,51921,52248.79999999999,Colorado,52163.3,52225.64,52287.979999999996,52350.31999999999,52412.65999999999,52474.999999999985,52537.34,52599.67999999999,52662.01999999999,52724.359999999986,52786.69999999998,52849.03999999998,52911.379999999976,52973.71999999997,53036.05999999998,53098.39999999998,53160.739999999976,53223.07999999997,53285.41999999997,53347.759999999966,53410.09999999996,53472.43999999996,53534.77999999997,53597.119999999966,53659.45999999996,53721.79999999996,53784.139999999956,53846.47999999995,53908.81999999995,53971.159999999945,54033.499999999956,54095.83999999995,54158.17999999995,54220.519999999946,54282.85999999994,54345.19999999994,54407.539999999935,54469.87999999993,54532.21999999993,54594.55999999994,54656.899999999936,54719.23999999993,54781.57999999993,54843.919999999925,54906.25999999992,54968.59999999992,55030.939999999915,55093.279999999926,55155.61999999992
Elbert,23086,23086,23091,23273,23415,23688.199999999895,Colorado,23850.199999999895,24043.55999999988,24236.919999999867,24430.279999999795,24623.63999999978,24816.999999999767,25010.359999999753,25203.71999999974,25397.079999999725,25590.43999999971,25783.79999999964,25977.159999999625,26170.51999999961,26363.879999999597,26557.239999999583,26750.59999999957,26943.959999999555,27137.319999999483,27330.67999999947,27524.039999999455,27717.39999999944,27910.759999999427,28104.119999999413,28297.4799999994,28490.839999999327,28684.199999999313,28877.5599999993,29070.919999999285,29264.27999999927,29457.639999999257,29650.999999999243,29844.35999999917,30037.719999999157,30231.079999999143,30424.43999999913,30617.799999999115,30811.1599999991,31004.519999999087,31197.879999999015,31391.239999999,31584.599999998987,31777.959999998973,31971.31999999896,32164.679999998945,32358.03999999893,32551.39999999886,32744.759999998845,32938.11999999883,33131.47999999882
ElPaso,622263,622263,626691,636878,645439,655056.0,Colorado,664430.0,673795.6000000015,683161.200000003,692526.8000000007,701892.4000000022,711258.0000000037,720623.6000000015,729989.200000003,739354.8000000045,748720.4000000022,758086.0000000037,767451.6000000052,776817.2000000067,786182.8000000045,795548.400000006,804914.0000000075,814279.6000000052,823645.2000000067,833010.8000000082,842376.400000006,851742.0000000075,861107.6000000089,870473.2000000104,879838.8000000082,889204.4000000097,898570.0000000112,907935.6000000089,917301.2000000104,926666.8000000119,936032.4000000097,945398.0000000112,954763.6000000127,964129.2000000142,973494.8000000119,982860.4000000134,992226.0000000149,1001591.6000000127,1010957.2000000142,1020322.8000000156,1029688.4000000171,1039054.0000000149,1048419.6000000164,1057785.2000000179,1067150.8000000156,1076516.4000000171,1085882.0000000186,1095247.6000000164,1104613.2000000179,1113978.8000000194
Fremont,46824,46824,46874,47293,46760,46574.20000000007,Colorado,46517.20000000007,46373.96000000008,46230.72000000009,46087.480000000156,45944.240000000165,45801.000000000175,45657.760000000184,45514.52000000019,45371.2800000002,45228.04000000027,45084.80000000028,44941.56000000029,44798.3200000003,44655.08000000031,44511.840000000375,44368.600000000384,44225.36000000039,44082.1200000004,43938.88000000041,43795.64000000042,43652.40000000049,43509.1600000005,43365.92000000051,43222.68000000052,43079.440000000526,42936.200000000536,42792.9600000006,42649.72000000061,42506.48000000062,42363.24000000063,42220.00000000064,42076.76000000065,41933.52000000072,41790.28000000073,41647.040000000736,41503.800000000745,41360.560000000754,41217.32000000082,41074.08000000083,40930.84000000084,40787.60000000085,40644.36000000086,40501.12000000087,40357.880000000936,40214.640000000945,40071.400000000955,39928.160000000964,39784.92000000097,39641.68000000098
