County,Census,Estimates Base,2010,2011,2012,2013,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
Chilton,43643,43642,43700,43786,43800,43924.3,Alabama,43974.3,44042.990000000005,44111.68000000001,44180.37000000001,44249.06000000001,44317.750000000015,44386.43999999999,44455.12999999999,44523.81999999999,44592.509999999995,44661.2,44729.89,44798.58,44867.270000000004,44935.96000000001,45004.65000000001,45073.34000000001,45142.029999999984,45210.71999999999,45279.40999999999,45348.09999999999,45416.78999999999,45485.479999999996,45554.17,45622.86,45691.55,45760.240000000005,45828.93000000001,45897.62000000001,45966.30999999998,46034.999999999985,46103.68999999999,46172.37999999999,46241.06999999999,46309.759999999995,46378.45,46447.14,46515.83,46584.520000000004,46653.21000000001,46721.89999999998,46790.58999999998,46859.279999999984,46927.96999999999,46996.65999999999,47065.34999999999,47134.03999999999,47202.729999999996,47271.42
Choctaw,13859,13858,13849,13598,13585,13422.20000000004,Alabama,13290.200000000099,13160.860000000102,13031.520000000106,12902.18000000011,12772.840000000113,12643.500000000116,12514.160000000149,12384.820000000153,12255.480000000156,12126.14000000016,11996.800000000163,11867.460000000166,11738.12000000017,11608.780000000203,11479.440000000177,11350.10000000021,11220.760000000184,11091.420000000217,10962.080000000191,10832.740000000224,10703.400000000198,10574.06000000023,10444.720000000205,10315.380000000237,10186.04000000027,10056.700000000244,9927.360000000277,9798.020000000251,9668.680000000284,9539.340000000258,9410.000000000291,9280.660000000265,9151.320000000298,9021.980000000272,8892.640000000305,8763.300000000338,8633.960000000312,8504.620000000345,8375.280000000319,8245.940000000352,8116.600000000326,7987.260000000359,7857.920000000333,7728.5800000003655,7599.24000000034,7469.9000000003725,7340.560000000405,7211.2200000003795,7081.880000000412
Clarke,25833,25840,25786,25615,25220,25137.20000000001,Alabama,24854.20000000007,24620.060000000114,24385.9200000001,24151.780000000086,23917.640000000072,23683.50000000006,23449.360000000044,23215.22000000003,22981.080000000016,22746.94000000006,22512.800000000047,22278.660000000033,22044.52000000002,21810.380000000005,21576.23999999999,21342.099999999977,21107.96000000002,20873.820000000007,20639.679999999993,20405.53999999998,20171.399999999965,19937.25999999995,19703.119999999937,19468.97999999998,19234.839999999967,19000.699999999953,18766.55999999994,18532.419999999925,18298.27999999991,18064.139999999898,17829.999999999884,17595.859999999928,17361.719999999914,17127.5799999999,16893.439999999886,16659.299999999872,16425.159999999858,16191.019999999844,15956.879999999888,15722.739999999874,15488.59999999986,15254.459999999846,15020.319999999832,14786.179999999818,14552.039999999804,14317.89999999979,14083.759999999835,13849.61999999982,13615.479999999807
Clay,13932,13932,13886,13678,13458,13414.0,Alabama,13200.0,13036.400000000023,12872.799999999988,12709.200000000012,12545.599999999977,12382.0,12218.399999999965,12054.799999999988,11891.199999999953,11727.599999999977,11563.999999999942,11400.399999999965,11236.79999999993,11073.199999999953,10909.599999999919,10745.999999999942,10582.399999999907,10418.79999999993,10255.199999999895,10091.599999999919,9927.999999999884,9764.399999999907,9600.799999999872,9437.199999999895,9273.59999999986,9109.999999999884,8946.399999999849,8782.799999999872,8619.199999999837,8455.59999999986,8291.999999999825,8128.399999999849,7964.799999999814,7801.199999999837,7637.599999999802,7473.999999999767,7310.39999999979,7146.7999999997555,6983.199999999779,6819.599999999744,6655.999999999767,6492.399999999732,6328.7999999997555,6165.199999999721,6001.599999999744,5837.999999999709,5674.399999999732,5510.799999999697,5347.199999999721
Cleburne,14972,14972,14969,14960,14885,14952.000000000005,Alabama,14910.000000000011,14897.400000000016,14884.800000000017,14872.200000000019,14859.60000000002,14847.000000000022,14834.400000000023,14821.800000000025,14809.200000000026,14796.600000000031,14784.000000000033,14771.400000000034,14758.800000000036,14746.200000000037,14733.600000000039,14721.00000000004,14708.400000000045,14695.800000000047,14683.200000000048,14670.60000000005,14658.000000000051,14645.400000000052,14632.800000000054,14620.200000000059,14607.60000000006,14595.000000000062,14582.400000000063,14569.800000000065,14557.200000000066,14544.600000000068,14532.00000000007,14519.400000000074,14506.800000000076,14494.200000000077,14481.600000000079,14469.00000000008,14456.400000000081,14443.800000000083,14431.200000000088,14418.60000000009,14406.000000000091,14393.400000000092,14380.800000000094,14368.200000000095,14355.600000000097,14343.000000000098,14330.400000000103,14317.800000000105,14305.200000000106
Coffee,49948,49948,50182,50503,51276,51180.89999999979,Alabama,51727.899999999674,52104.869999999646,52481.83999999962,52858.809999999474,53235.779999999446,53612.74999999942,53989.71999999939,54366.689999999246,54743.65999999922,55120.62999999919,55497.59999999916,55874.569999999134,56251.53999999899,56628.50999999896,57005.47999999893,57382.449999998906,57759.41999999876,58136.38999999873,58513.359999998705,58890.32999999868,59267.29999999853,59644.269999998505,60021.23999999848,60398.20999999845,60775.179999998305,61152.14999999828,61529.11999999825,61906.08999999822,62283.05999999808,62660.02999999805,63036.99999999802,63413.96999999799,63790.93999999785,64167.90999999782,64544.87999999779,64921.849999997765,65298.81999999774,65675.78999999759,66052.75999999756,66429.72999999754,66806.69999999751,67183.66999999736,67560.63999999734,67937.60999999731,68314.57999999728,68691.54999999714,69068.51999999711,69445.48999999708,69822.45999999705
Colbert,54428,54428,54506,54406,54424,54473.00000000001,Alabama,54432.00000000001,54423.9,54415.8,54407.7,54399.59999999999,54391.49999999999,54383.39999999999,54375.29999999999,54367.19999999998,54359.09999999998,54350.99999999997,54342.89999999997,54334.799999999974,54326.69999999997,54318.59999999996,54310.499999999956,54302.39999999996,54294.29999999996,54286.19999999995,54278.09999999995,54269.99999999994,54261.89999999994,54253.799999999945,54245.69999999994,54237.59999999993,54229.49999999993,54221.39999999993,54213.29999999993,54205.199999999924,54197.09999999992,54188.99999999991,54180.899999999914,54172.79999999991,54164.69999999991,54156.599999999904,54148.4999999999,54140.3999999999,54132.299999999894,54124.199999999895,54116.09999999989,54107.99999999988,54099.89999999988,54091.79999999988,54083.69999999988,54075.599999999875,54067.49999999987,54059.39999999986,54051.299999999865,54043.199999999866
Conecuh,13228,13228,13218,13130,13009,12893.900000000023,Alabama,12789.400000000081,12680.070000000094,12570.740000000107,12461.41000000009,12352.080000000104,12242.750000000087,12133.4200000001,12024.090000000113,11914.760000000097,11805.43000000011,11696.100000000122,11586.770000000106,11477.440000000119,11368.110000000102,11258.780000000115,11149.450000000128,11040.120000000112,10930.790000000125,10821.460000000108,10712.130000000121,10602.800000000134,10493.470000000118,10384.14000000013,10274.810000000114,10165.480000000127,10056.15000000014,9946.820000000123,9837.490000000136,9728.16000000012,9618.830000000133,9509.500000000146,9400.17000000013,9290.840000000142,9181.510000000126,9072.180000000139,8962.850000000151,8853.520000000135,8744.190000000148,8634.860000000132,8525.530000000144,8416.200000000157,8306.87000000014,8197.540000000154,8088.210000000137,7978.88000000015,7869.550000000163,7760.220000000147,7650.8900000001595,7541.560000000143
Coosa,11539,11544,11563,11117,11000,10827.70000000007,Alabama,10546.20000000007,10313.91000000009,10081.620000000112,9849.330000000133,9617.040000000154,9384.750000000175,9152.460000000137,8920.170000000158,8687.88000000018,8455.5900000002,8223.300000000221,7991.010000000242,7758.720000000263,7526.430000000226,7294.140000000247,7061.850000000268,6829.560000000289,6597.27000000031,6364.980000000331,6132.690000000293,5900.400000000314,5668.110000000335,5435.820000000356,5203.530000000377,4971.240000000398,4738.950000000361,4506.660000000382,4274.370000000403,4042.0800000004238,3809.7900000004447,3577.5000000004657,3345.2100000004284,3112.9200000004494,2880.6300000004703,2648.3400000004913,2416.0500000005122,2183.760000000533,1951.4700000005541,1719.1800000005169,1486.8900000005378,1254.6000000005588,1022.3100000005797,790.0200000006007,557.7300000006217,325.4400000005844,93.15000000060536,-139.13999999937369,-371.42999999935273,-603.7199999993318
Covington,37765,37765,37790,38053,37856,37909.90000000001,Alabama,37942.90000000002,37959.17000000002,37975.440000000024,37991.71000000003,38007.98000000003,38024.25000000004,38040.52000000004,38056.79000000004,38073.06000000004,38089.330000000045,38105.60000000005,38121.87000000005,38138.14000000006,38154.41000000006,38170.680000000066,38186.95000000006,38203.22000000007,38219.49000000007,38235.760000000075,38252.03000000008,38268.30000000008,38284.57000000009,38300.84000000009,38317.11000000009,38333.38000000009,38349.650000000096,38365.9200000001,38382.190000000104,38398.46000000011,38414.73000000011,38431.00000000012,38447.27000000011,38463.54000000012,38479.81000000012,38496.080000000125,38512.35000000013,38528.62000000013,38544.89000000014,38561.160000000134,38577.43000000014,38593.70000000014,38609.97000000015,38626.24000000015,38642.510000000155,38658.78000000016,38675.05000000016,38691.32000000016,38707.590000000164,38723.86000000017
